departement,nom_reel,pop_2012,longitude_degre,latitude_degre
93,Villemomble,28200,2.5,48.8833
49,Saumur,28100,-0.083333,47.2667
76,Saint-Étienne-du-Rouvray,28100,1.1,49.3833
59,Lambersart,28000,3.03333,50.65
95,Bezons,28000,2.21667,48.9333
77,Savigny-le-Temple,27800,2.58333,48.5667
92,Bois-Colombes,27800,2.26667,48.9167
61,Alençon,27700,0.083333,48.4333
94,Cachan,27700,2.33333,48.7833
95,Ermont,27700,2.26667,48.9833
24,Bergerac,27600,0.483333,44.85
18,Vierzon,27500,2.08333,47.2167
94,Villiers-sur-Marne,27500,2.55,48.8333
33,Saint-Médard-en-Jalles,27400,-0.733333,44.9
78,Élancourt,27300,1.95,48.7833
91,Grigny,27200,2.38333,48.65
73,Aix-les-Bains,27100,5.91667,45.7
91,Ris-Orangis,27000,2.41667,48.65
91,Vigneux-sur-Seine,27000,2.41667,48.7
95,Villiers-le-Bel,27000,2.38333,49
67,Illkirch-Graffenstaden,26700,7.71667,48.5333
92,La Garenne-Colombes,26700,2.25,48.9
17,Saintes,26500,-0.633333,45.75
92,Vanves,26500,2.3,48.8333
95,Gonesse,26500,2.45,48.9833
52,Saint-Dizier,26400,4.95,48.6333
64,Biarritz,26300,-1.56667,43.4833
95,Taverny,26300,2.21667,49.0333
2,Laon,26200,3.61667,49.5667
25,Montbéliard,26200,6.8,47.5167
83,La Garde,26200,6.01056,43.1248
94,Le Kremlin-Bicêtre,26100,2.36667,48.8167
94,Sucy-en-Brie,26100,2.53333,48.7667
95,Herblay,26000,2.16667,49
89,Sens,25900,3.28389,48.1981
95,Sannois,25900,2.25,48.9667
76,Le Grand-Quevilly,25800,1.03333,49.4167
78,Rambouillet,25800,1.83333,48.65
17,Rochefort,25700,-0.983333,45.9333
62,Béthune,25700,2.63333,50.5333
69,Oullins,25700,4.8,45.7167
13,Miramas,25600,5,43.5833
31,Tournefeuille,25600,1.35,43.5833
62,Hénin-Beaumont,25600,2.93333,50.4167
91,Brunoy,25600,2.5,48.7
93,Romainville,25600,2.43333,48.8833
39,Dole,25400,5.5,47.1
84,Cavaillon,25400,5.03805,43.8375
3,Vichy,25200,3.41667,46.1167
27,Vernon,25000,1.48333,49.0833
33,Bègles,25000,-0.533333,44.8
59,Armentières,25000,2.88333,50.6833
94,Fresnes,25000,2.31667,48.75
69,Décines-Charpieu,24800,4.96667,45.75
38,Bourgoin-Jallieu,24700,5.27972,45.5917
44,Saint-Sébastien-sur-Loire,24700,-1.5,47.2167
92,Le Plessis-Robinson,24700,2.26667,48.7833
92,Villeneuve-la-Garenne,24700,2.33333,48.9333
51,Épernay,24600,3.95,49.05
91,Ulis,24600,2.1675,48.6823
12,Rodez,24500,2.56667,44.3333
93,Montfermeil,24500,2.56667,48.9
33,La Teste-de-Buch,24400,-1.13704,44.6343
34,Lunel,24400,4.13333,43.6833
44,Orvault,24400,-1.61667,47.2667
77,Champs-sur-Marne,24100,2.6,48.85
80,Abbeville,24100,1.83333,50.1
92,Fontenay-aux-Roses,24100,2.28333,48.7833
52,Chaumont,24000,5.13333,48.1167
77,Villeparisis,23900,2.61667,48.9333
95,Eaubonne,23800,2.28333,49
33,Libourne,23700,-0.233333,44.9167
62,Bruay-la-Buissière,23700,2.54778,50.4812
47,Villeneuve-sur-Lot,23600,0.716667,44.4
31,Muret,23300,1.35,43.4667
33,Gradignan,23300,-0.616667,44.7667
33,Le Bouscat,23200,-0.616667,44.8667
34,Frontignan,23200,3.75,43.45
71,Le Creusot,23200,4.43333,46.8
95,Saint-Ouen-l'Aumône,23200,2.11667,49.05
1,Oyonnax,23100,5.66667,46.25
92,Sèvres,23100,2.2,48.8167
57,Montigny-lès-Metz,22800,6.15,49.1
59,Coudekerque-Branche,22800,2.4,51.0333
91,Montgeron,22700,2.45,48.7
78,Maisons-Laffitte,22600,2.15,48.95
33,Cenon,22500,-0.533333,44.85
34,Agde,22500,3.46667,43.3167
56,Lanester,22500,-3.35,47.75
91,Brétigny-sur-Orge,22500,2.31667,48.6167
94,Saint-Mandé,22500,2.41667,48.8333
95,Cormeilles-en-Parisis,22400,2.2,48.9833
4,Manosque,22300,5.78333,43.8333
14,Hérouville-Saint-Clair,22300,-0.316667,49.2
21,Beaune,22200,4.83333,47.0333
59,La Madeleine,22200,3.06667,50.65
69,Sainte-Foy-lès-Lyon,22200,4.8,45.7333
77,Roissy-en-Brie,22200,2.65,48.8
91,Étampes,22200,2.15,48.4333
93,Lilas,22200,2.43333,48.8833
14,Lisieux,22100,0.233333,49.15
38,Fontaine,22100,5.66667,45.1833
59,Mons-en-Barœul,22100,3.10778,50.642
57,Sarreguemines,22000,7.05,49.1
12,Millau,21900,3.08333,44.1
76,Le Petit-Quevilly,21900,1.03333,49.4333
77,Torcy,21900,2.65,48.85
57,Forbach,21800,6.9,49.1833
32,Auch,21700,0.583333,43.65
59,Hazebrouck,21700,2.53333,50.7167
88,Saint-Dié-des-Vosges,21700,6.95,48.2833
95,Deuil-la-Barre,21700,2.33333,48.9833
31,Blagnac,21600,1.4,43.6333
44,Vertou,21400,-1.48333,47.1667
59,Loos,21400,3.01667,50.6167
83,La Valette-du-Var,21400,5.98333,43.1333
91,Longjumeau,21400,2.3,48.7
95,Montmorency,21400,2.33333,49
77,Combs-la-Ville,21300,2.56667,48.6667
6,Mandelieu-la-Napoule,21200,6.93333,43.55
45,Fleury-les-Aubrais,21200,1.91667,47.9333
91,Gif-sur-Yvette,21200,2.13333,48.6833
13,Gardanne,21100,5.46667,43.45
77,Bussy-Saint-Georges,21100,2.7,48.85
91,Morsang-sur-Orge,21100,2.35,48.6667
59,Grande-Synthe,21000,2.28333,51.0167
78,La Celle-Saint-Cloud,20900,2.15,48.85
94,Orly,20900,2.4,48.75
59,Croix,20800,3.15,50.6667
77,Le Mée-sur-Seine,20800,2.63333,48.5333
93,Pavillons-sous-Bois,20700,2.51667,48.9
